Track      |   License URL
----------------------------------------------
 001        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 002        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 003        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 004        |   http://creativecommons.org/licenses/by-nc/3.0/
 005        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 006        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 007        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 008        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 009        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 010        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 011        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 012        |   http://creativecommons.org/licenses/by-sa/2.5/ca/
 013        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 014        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 015        |   http://creativecommons.org/licenses/by-nc-sa/3.0/
 016        |   http://creativecommons.org/licenses/by-nc-sa/3.0/
 017        |   http://creativecommons.org/licenses/by/3.0/
 018        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 019        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 020        |   http://creativecommons.org/licenses/by-nc-sa/3.0/
 021        |   http://creativecommons.org/licenses/by-nc-sa/3.0/
 022        |   http://creativecommons.org/licenses/by-sa/3.0/
 023        |   http://creativecommons.org/licenses/by-sa/3.0/
 024        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 025        |   http://creativecommons.org/licenses/by/3.0/
 026        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 027        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 028        |   http://creativecommons.org/licenses/by-sa/3.0/
 029        |   http://creativecommons.org/licenses/by-nd/3.0/
 030        |   http://creativecommons.org/licenses/by-nd/3.0/
 031        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 032        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 033        |   http://creativecommons.org/licenses/by-nc/3.0/
 034        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 035        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 036        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 037        |   http://creativecommons.org/licenses/by-nc-sa/3.0/
 038        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 039        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 040        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 041        |   http://creativecommons.org/licenses/by-nc/3.0/
 042        |   http://creativecommons.org/licenses/by-nc/3.0/
 043        |   http://creativecommons.org/licenses/by-nd/3.0/
 044        |   http://creativecommons.org/licenses/by-sa/3.0/
 045        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 046        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 047        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 048        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 049        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 050        |   http://creativecommons.org/licenses/by-nc-nd/3.0/
 051        |   http://creativecommons.org/licenses/by/3.0/
